"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1958
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
35.;31.08.;45 ;19 ;21 ;14 ;31 ;32 ;47 ;17.952.325,00 ;1  x  ;500.000,00 ;5  x  ;354.241,60 ;408  x     ;5.433,50 ;26.579  x    ;84,40 ;596.756  x;3,75  
36.;07.09.;47 ;13 ;21 ;37 ;45 ;44 ;26 ;18.221.545,00 ;unbesetzt;;5  x  ;455.538,60 ;409  x     ;5.568,90 ;26.976  x    ;84,40 ;503.871  x;4,50  
37.;14.09.;33 ;35 ;40 ;1 ;5 ;9 ;7 ;18.315.585,00 ;5  x  ;457.889,60 ;entfällt;;416  x     ;5.503,45 ;28.324  x    ;80,80 ;616.449  x;3,70  
38.;21.09.;20 ;32 ;14 ;13 ;7 ;1 ;15 ;18.403.522,50 ;unbesetzt;;10  x  ;230.044,00 ;485  x     ;4.743,15 ;31.737  x    ;72,45 ;641.385  x;3,55  
39.;28.09.;46 ;39 ;27 ;9 ;35 ;22 ;23 ;18.440.767,50 ;6  x  ;384.182,65 ;entfällt;;702  x     ;3.283,60 ;38.187  x    ;60,35 ;696.991  x;3,30  
40.;05.10.;4 ;38 ;8 ;2 ;30 ;44 ;14 ;18.893.449,00 ;1  x  ;500.000,00 ;24  x  ;81.810,00 ;533  x     ;4.240,00 ;32.267  x    ;73,15 ;635.984  x;3,70  
41.;12.10.;33 ;16 ;25 ;19 ;6 ;20 ;2 ;18.704.667,50 ;3  x  ;500.000,00 ;22  x  ;40.672,50 ;885  x     ;2.577,80 ;48.602  x    ;48,10 ;814.369  x;2,85  
42.;19.10.;46 ;4 ;6 ;49 ;48 ;45 ;18 ;18.912.423,50 ;2  x  ;500.000,00 ;3  x  ;460.938,40 ;375  x     ;6.254,10 ;19.895  x    ;118,80 ;342.710  x;6,85  
43.;26.10.;33 ;30 ;6 ;34 ;21 ;36 ;20 ;19.014.138,00 ;unbesetzt;;12  x  ;198.063,90 ;389  x     ;6.109,90 ;33.049  x    ;71,90 ;674.035  x;3,50  
44.;02.11.;47 ;8 ;13 ;7 ;29 ;49 ;21 ;19.366.205,00 ;unbesetzt;;23  x  ;105.251,10 ;507  x     ;4.774,70 ;32.614  x    ;74,20 ;651.582  x;3,70  
45.;09.11.;46 ;11 ;18 ;44 ;8 ;12 ;30 ;19.560.949,50 ;1  x  ;500.000,00 ;8  x  ;248.975,40 ;411  x     ;5.835,60 ;27.940  x    ;87,50 ;661.612  x;3,65  
46.;16.11.;22 ;21 ;45 ;11 ;47 ;25 ;15 ;19.781.512,00 ;4  x  ;500.000,00 ;4  x  ;124.173,90 ;408  x     ;6.001,65 ;26.141  x    ;94,55 ;578.211  x;4,25  
47.;23.11.;22 ;18 ;19 ;49 ;4 ;25 ;27 ;19.586.762,50 ;2  x  ;500.000,00 ;17  x  ;89.988,05 ;494  x     ;4.791,25 ;34.146  x    ;71,70 ;718.285  x;3,40  
48.;30.11.;11 ;44 ;46 ;49 ;19 ;18 ;37 ;20.368.004,00 ;4  x  ;500.000,00 ;7  x  ;81.783,10 ;666  x     ;3.783,05 ;38.730  x    ;65,70 ;645.149  x;3,90  
49.;07.12.;28 ;13 ;1 ;17 ;27 ;4 ;46 ;20.501.584,00 ;2  x  ;500.000,00 ;13  x  ;122.629,70 ;1.045  x     ;2.422,20 ;52.351  x    ;48,95 ;869.759  x;2,90  
50.;14.12.;11 ;48 ;31 ;9 ;26 ;13 ;1 ;20.522.562,00 ;6  x  ;427.553,35 ;entfällt;;1.051  x     ;2.440,80 ;52.162  x    ;49,15 ;867.078  x;2,95  
51.;21.12.;6 ;45 ;15 ;17 ;40 ;9 ;16 ;20.337.783,00 ;1  x  ;500.000,00 ;11  x  ;191.306,00 ;439  x     ;5.649,35 ;33.733  x    ;75,35 ;697.170  x;3,60  
52.;28.12.;44 ;41 ;12 ;14 ;49 ;19 ;31 ;16.242.688,00 ;1  x  ;500.000,00 ;10  x  ;157.648,00 ;430  x     ;4.614,40 ;23.315  x    ;87,05 ;508.094  x;3,95  
* 5+ZZ ist Ersatz-Gewinnklasse, falls die Gewinnklasse I nicht getroffen wurde, oder die Grenze von 500.000 DM überschreitet.;;;;;;;;;;;;;;;;;;;
