"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1959
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
13.;29.03.;49 ;16 ;35 ;10 ;7 ;23 ;8 ;18.842.625,00 ;3  x  ;500.000,00 ;8  x  ;110.690,55 ;616  x     ;3.774,55 ;34.048  x    ;69,15 ;622.467  x;3,75  
14.;05.04.;23 ;19 ;35 ;18 ;2 ;39 ;41 ;19.176.357,00 ;5  x  ;479.408,90 ;entfällt;;762  x     ;3.145,70 ;41.769  x    ;57,35 ;756.054  x;3,15  
15.;12.04.;2 ;42 ;39 ;48 ;33 ;28 ;1 ;19.716.136,00 ;unbesetzt;;4  x  ;500.000,00 ;388  x     ;7.549,05 ;27.922  x    ;88,25 ;572.042  x;4,30  
16.;19.04.;16 ;28 ;20 ;4 ;46 ;22 ;30 ;19.344.163,00 ;8  x  ;302.252,50 ;entfällt;;712  x     ;3.396,05 ;38.152  x    ;63,35 ;616.434  x;3,90  
17.;26.04.;21 ;40 ;1 ;14 ;8 ;15 ;37 ;19.143.581,50 ;2  x  ;500.000,00 ;10  x  ;143.896,55 ;510  x     ;4.601,80 ;27.544  x    ;86,85 ;556.523  x;4,30  
18.;03.05.;30 ;31 ;35 ;46 ;7 ;5 ;13 ;18.695.050,50 ;1  x  ;500.000,00 ;8  x  ;235.633,05 ;380  x     ;6.022,85 ;26.983  x    ;86,60 ;576.585  x;4,05  
19.;10.05.;44 ;43 ;42 ;14 ;22 ;19 ;49 ;18.715.679,00 ;unbesetzt;;5  x  ;467.891,95 ;344  x     ;6.800,75 ;25.319  x    ;92,35 ;569.913  x;4,10  
20.;17.05.;49 ;7 ;27 ;41 ;46 ;1 ;16 ;19.060.304,00 ;1  x  ;500.000,00 ;11  x  ;176.198,25 ;460  x     ;5.058,45 ;32.231  x    ;73,90 ;621.474  x;3,80  
21.;24.05.;28 ;19 ;41 ;4 ;1 ;5 ;16 ;18.331.865,50 ;3  x  ;500.000,00 ;19  x  ;44.417,80 ;811  x     ;2.760,80 ;44.981  x    ;50,90 ;764.653  x;2,95  
22.;31.05.;8 ;25 ;22 ;49 ;44 ;17 ;39 ;18.990.548,50 ;3  x  ;500.000,00 ;16  x  ;59.135,20 ;509  x     ;4.521,55 ;32.020  x    ;74,10 ;630.684  x;3,75  
23.;07.06.;10 ;42 ;44 ;23 ;21 ;11 ;48 ;18.759.018,50 ;7  x  ;334.982,45 ;entfällt;;624  x     ;3.757,80 ;31.398  x    ;74,65 ;613.136  x;3,80  
24.;14.06.;30 ;19 ;41 ;28 ;32 ;17 ;10 ;18.902.181,00 ;5  x  ;472.554,50 ;entfällt;;914  x     ;2.585,05 ;41.877  x    ;56,40 ;709.564  x;3,30  
25.;21.06.;42 ;10 ;24 ;28 ;23 ;35 ;44 ;18.350.472,00 ;1  x  ;500.000,00 ;7  x  ;260.611,00 ;520  x     ;4.352,55 ;30.845  x    ;74,35 ;631.803  x;3,60  
26.;28.06.;34 ;42 ;3 ;4 ;43 ;21 ;1 ;18.335.357,00 ;2  x  ;500.000,00 ;8  x  ;167.163,00 ;396  x     ;5.673,05 ;27.906  x    ;82,10 ;555.629  x;4,10  
27.;05.07.;2 ;36 ;49 ;44 ;18 ;9 ;39 ;19.038.005,00 ;11  x  ;216.340,95 ;entfällt;;2.826  x     ;842,05 ;84.451  x    ;28,15 ;957.938  x;2,45  
28.;12.07.;35 ;25 ;31 ;23 ;46 ;29 ;18 ;17.670.407,00 ;1  x  ;500.000,00 ;13  x  ;138.808,85 ;287  x     ;7.362,65 ;21.539  x    ;102,50 ;471.676  x;4,65  
29.;19.07.;9 ;46 ;2 ;26 ;40 ;13 ;38 ;18.217.739,50 ;5  x  ;455.443,45 ;entfällt;;665  x     ;3.424,35 ;35.209  x    ;64,65 ;651.761  x;3,45  
30.;26.07.;31 ;30 ;14 ;48 ;34 ;38 ;24 ;17.921.178,00 ;3  x  ;500.000,00 ;8  x  ;98.218,50 ;385  x     ;5.700,10 ;24.496  x    ;91,40 ;482.903  x;4,60  
31.;02.08.;24 ;6 ;48 ;45 ;37 ;14 ;22 ;18.490.400,00 ;2  x  ;500.000,00 ;24  x  ;58.066,70 ;650  x     ;3.429,20 ;33.639  x    ;68,70 ;619.078  x;3,70  
32.;09.08.;26 ;9 ;35 ;36 ;33 ;11 ;48 ;18.620.754,00 ;7  x  ;332.513,45 ;entfällt;;952  x     ;2.444,95 ;47.124  x    ;49,35 ;765.117  x;3,00  
33.;16.08.;31 ;16 ;13 ;28 ;15 ;9 ;26 ;18.580.631,50 ;1  x  ;500.000,00 ;18  x  ;104.736,50 ;649  x     ;3.482,10 ;35.983  x    ;64,50 ;694.718  x;3,30  
34.;23.08.;2 ;13 ;19 ;42 ;41 ;31 ;4 ;18.584.653,00 ;6  x  ;387.180,25 ;entfällt;;588  x     ;3.950,80 ;34.465  x    ;67,40 ;675.745  x;3,40  
35.;30.08.;36 ;33 ;14 ;16 ;35 ;11 ;28 ;18.715.292,50 ;4  x  ;500.000,00 ;14  x  ;27.117,65 ;800  x     ;2.873,95 ;41.680  x    ;56,10 ;600.314  x;3,85  
36.;06.09.;8 ;3 ;29 ;9 ;18 ;26 ;37 ;19.311.071,00 ;7  x  ;344.840,55 ;entfällt;;1.435  x     ;1.682,10 ;64.221  x    ;37,55 ;989.200  x;2,40  
37.;13.09.;15 ;16 ;44 ;1 ;9 ;23 ;43 ;19.069.220,50 ;3  x  ;500.000,00 ;8  x  ;114.019,55 ;661  x     ;3.563,00 ;36.584  x    ;65,15 ;654.145  x;3,60  
38.;20.09.;48 ;45 ;26 ;46 ;11 ;31 ;19 ;19.182.942,00 ;unbesetzt;;12  x  ;199.822,30 ;735  x     ;3.262,40 ;40.636  x    ;59,00 ;626.649  x;3,80  
39.;27.09.;1 ;9 ;30 ;24 ;22 ;32 ;27 ;19.018.047,00 ;4  x  ;500.000,00 ;21  x  ;22.070,35 ;558  x     ;4.105,75 ;35.835  x    ;66,30 ;675.835  x;3,50  
40.;04.10.;15 ;21 ;19 ;16 ;29 ;17 ;1 ;20.895.106,00 ;4  x  ;500.000,00 ;10  x  ;63.819,10 ;983  x     ;2.630,30 ;38.769  x    ;67,35 ;696.227  x;3,75  
41.;11.10.;39 ;34 ;6 ;5 ;17 ;31 ;2 ;20.585.592,50 ;4  x  ;500.000,00 ;20  x  ;31.420,85 ;912  x     ;2.760,90 ;46.433  x    ;55,40 ;788.868  x;3,25  
42.;18.10.;19 ;11 ;45 ;40 ;2 ;38 ;26 ;20.706.030,00 ;2  x  ;500.000,00 ;30  x  ;56.311,90 ;738  x     ;3.370,10 ;39.752  x    ;65,10 ;726.125  x;3,55  
43.;25.10.;39 ;26 ;19 ;18 ;6 ;29 ;42 ;20.379.049,00 ;4  x  ;500.000,00 ;19  x  ;31.159,50 ;1.065  x     ;2.349,95 ;57.519  x    ;44,25 ;948.893  x;2,65  
44.;01.11.;12 ;18 ;33 ;29 ;25 ;37 ;13 ;20.894.758,50 ;12  x  ;217.653,70 ;entfällt;;1.336  x     ;1.954,95 ;52.173  x    ;50,05 ;861.085  x;3,00  
45.;08.11.;20 ;31 ;38 ;19 ;36 ;45 ;17 ;20.950.317,50 ;2  x  ;500.000,00 ;9  x  ;187.613,40 ;329  x     ;7.747,85 ;25.627  x    ;102,15 ;620.414  x;4,20  
46.;15.11.;29 ;23 ;35 ;3 ;7 ;37 ;28 ;21.007.590,50 ;6  x  ;437.658,10 ;entfällt;;1.216  x     ;2.159,45 ;56.183  x    ;46,70 ;891.588  x;2,90  
47.;22.11.;15 ;23 ;43 ;38 ;47 ;4 ;48 ;20.654.028,00 ;3  x  ;500.000,00 ;9  x  ;124.273,40 ;624  x     ;4.078,55 ;34.979  x    ;73,80 ;650.192  x;3,95  
48.;29.11.;4 ;34 ;3 ;5 ;14 ;49 ;24 ;21.001.551,00 ;unbesetzt;;15  x  ;175.012,90 ;281  x     ;9.342,30 ;30.936  x    ;84,85 ;673.168  x;3,85  
49.;06.12.;2 ;20 ;1 ;37 ;21 ;29 ;4 ;21.516.815,50 ;unbesetzt;;4  x  ;500.000,00 ;441  x     ;7.662,55 ;28.656  x    ;93,85 ;582.428  x;4,60  
50.;13.12.;5 ;43 ;14 ;32 ;45 ;20 ;29 ;21.254.323,00 ;3  x  ;500.000,00 ;9  x  ;134.423,15 ;442  x     ;5.890,85 ;26.371  x    ;100,70 ;553.605  x;4,75  
51.;20.12.;40 ;20 ;42 ;25 ;27 ;22 ;32 ;21.306.387,50 ;2  x  ;500.000,00 ;7  x  ;244.141,75 ;401  x     ;6.527,65 ;25.696  x    ;103,60 ;567.040  x;4,65  
52.;27.12.;31 ;47 ;48 ;25 ;8 ;17 ;33 ;17.691.715,50 ;2  x  ;500.000,00 ;15  x  ;84.377,75 ;597  x     ;3.613,50 ;30.124  x    ;73,40 ;574.085  x;3,85  
* 5+ZZ ist Ersatz-Gewinnklasse, falls die Gewinnklasse I nicht getroffen wurde, oder die Grenze von 500.000 DM überschreitet.;;;;;;;;;;;;;;;;;;;
