"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1962
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II*;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
37.;16.09.;15 ;5 ;21 ;39 ;36 ;22 ;35 ;25.022.457,50 ;4  x  ;500.000,00 ;17  x  ;69.131,75 ;1.104  x     ;2.790,15 ;57.530  x    ;54,35 ;963.019  x;3,20  
38.;23.09.;40 ;14 ;34 ;22 ;38 ;48 ;3 ;25.033.585,50 ;4  x  ;500.000,00 ;41  x  ;31.404,60 ;769  x     ;3.863,20 ;44.182  x    ;70,80 ;759.302  x;4,10  
39.;30.09.;7 ;13 ;16 ;6 ;36 ;48 ;34 ;25.240.820,00 ;2  x  ;500.000,00 ;14  x  ;158.535,10 ;672  x     ;4.599,25 ;44.748  x    ;70,50 ;904.948  x;3,45  
40.;07.10.;32 ;2 ;30 ;38 ;25 ;49 ;48 ;24.827.920,00 ;unbesetzt;;6  x  ;500.000,00 ;390  x     ;8.223,00 ;31.404  x    ;98,80 ;719.058  x;4,30  
41.;14.10.;15 ;7 ;9 ;25 ;6 ;20 ;44 ;24.589.475,00 ;5  x  ;491.789,50 ;6  x  ;102.456,10 ;1.243  x     ;2.472,75 ;56.385  x    ;54,50 ;1.004.819  x;3,05  
42.;21.10.;1 ;11 ;41 ;27 ;2 ;46 ;43 ;24.546.883,00 ;2  x  ;500.000,00 ;22  x  ;94.016,35 ;737  x     ;4.163,30 ;46.681  x    ;65,70 ;819.750  x;3,70  
43.;28.10.;24 ;16 ;47 ;49 ;10 ;25 ;17 ;24.252.922,50 ;2  x  ;500.000,00 ;8  x  ;253.951,90 ;498  x     ;6.087,55 ;34.388  x    ;88,15 ;737.287  x;4,10  
44.;04.11.;18 ;31 ;19 ;26 ;41 ;14 ;17 ;24.704.835,00 ;unbesetzt;;19  x  ;162.531,80 ;849  x     ;3.637,30 ;51.653  x    ;59,75 ;975.091  x;3,15  
45.;11.11.;6 ;9 ;46 ;22 ;41 ;10 ;27 ;25.003.561,50 ;2  x  ;500.000,00 ;19  x  ;111.865,50 ;500  x     ;6.250,85 ;38.613  x    ;80,90 ;825.766  x;3,75  
46.;18.11.;4 ;1 ;35 ;19 ;11 ;43 ;18 ;25.004.027,50 ;4  x  ;500.000,00 ;16  x  ;70.343,95 ;1.350  x     ;2.315,15 ;60.925  x    ;51,30 ;1.009.642  x;3,05  
47.;25.11.;28 ;48 ;44 ;18 ;49 ;22 ;11 ;24.679.698,50 ;2  x  ;500.000,00 ;7  x  ;297.851,75 ;589  x     ;5.237,60 ;39.226  x    ;78,60 ;775.324  x;3,95  
48.;02.12.;29 ;15 ;17 ;42 ;32 ;16 ;5 ;25.838.424,50 ;2  x  ;500.000,00 ;33  x  ;67.569,75 ;925  x     ;3.491,65 ;50.477  x    ;63,95 ;932.640  x;3,45  
49.;09.12.;47 ;46 ;3 ;21 ;37 ;42 ;15 ;25.636.268,00 ;unbesetzt;;18  x  ;178.029,60 ;396  x     ;8.092,25 ;32.493  x    ;98,60 ;740.681  x;4,30  
50.;16.12.;6 ;7 ;15 ;42 ;33 ;47 ;12 ;25.848.760,00 ;2  x  ;500.000,00 ;20  x  ;111.554,75 ;912  x     ;3.542,85 ;47.556  x    ;67,90 ;885.995  x;3,60  
51.;23.12.;27 ;32 ;48 ;20 ;37 ;43 ;18 ;25.453.040,00 ;4  x  ;500.000,00 ;14  x  ;84.402,10 ;450  x     ;7.070,25 ;30.781  x    ;103,35 ;680.464  x;4,65  
52.;30.12.;24 ;37 ;1 ;21 ;23 ;15 ;25 ;23.672.504,50 ;1  x  ;500.000,00 ;10  x  ;245.906,30 ;384  x     ;7.705,85 ;30.210  x    ;97,90 ;680.114  x;4,35  
* 5+ZZ ist bis 30.09.1962 Ersatz-Gewinnklasse, falls die Gewinnklasse I nicht getroffen wurde, oder die Grenze von 500.000 DM überschreitet.;;;;;;;;;;;;;;;;;;;
