"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1960
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
13.;27.03.;4 ;32 ;42 ;22 ;19 ;5 ;28 ;21.680.978,00 ;2  x  ;500.000,00 ;9  x  ;193.444,10 ;781  x     ;3.430,50 ;46.953  x    ;57,70 ;874.353  x;3,05  
14.;03.04.;47 ;10 ;25 ;9 ;30 ;22 ;40 ;22.204.309,00 ;unbesetzt;;18  x  ;154.196,55 ;610  x     ;4.550,05 ;36.856  x    ;75,30 ;745.575  x;3,70  
15.;10.04.;7 ;47 ;43 ;39 ;15 ;3 ;8 ;21.576.140,50 ;1  x  ;500.000,00 ;9  x  ;247.374,25 ;818  x     ;3.261,20 ;42.990  x    ;62,70 ;758.269  x;3,55  
16.;18.04.;17 ;36 ;48 ;39 ;44 ;3 ;40 ;20.592.385,00 ;unbesetzt;;5  x  ;500.000,00 ;625  x     ;4.236,95 ;36.999  x    ;69,55 ;699.502  x;3,65  
17.;24.04.;17 ;42 ;40 ;4 ;25 ;33 ;18 ;20.849.311,50 ;5  x  ;500.000,00 ;25  x  ;6.361,95 ;1.207  x     ;2.115,35 ;49.789  x    ;52,30 ;813.123  x;3,20  
18.;01.05.;45 ;35 ;12 ;14 ;22 ;39 ;47 ;22.113.038,00 ;1  x  ;500.000,00 ;16  x  ;146.153,70 ;579  x     ;4.645,55 ;34.108  x    ;81,00 ;695.656  x;3,95  
19.;08.05.;28 ;9 ;3 ;33 ;41 ;32 ;19 ;21.474.422,00 ;2  x  ;500.000,00 ;44  x  ;42.352,90 ;615  x     ;4.073,25 ;41.609  x    ;64,50 ;848.636  x;3,15  
20.;15.05.;41 ;36 ;14 ;22 ;46 ;7 ;18 ;21.385.946,00 ;6  x  ;445.540,50 ;entfällt;;948  x     ;2.819,85 ;43.657  x    ;61,20 ;753.000  x;3,55  
21.;22.05.;28 ;6 ;36 ;8 ;14 ;32 ;15 ;21.010.880,00 ;4  x  ;500.000,00 ;12  x  ;54.287,70 ;1.244  x     ;2.091,05 ;48.569  x    ;54,05 ;788.422  x;3,30  
22.;29.05.;26 ;32 ;28 ;39 ;29 ;2 ;9 ;20.471.621,50 ;unbesetzt;;8  x  ;319.869,05 ;256  x     ;9.995,90 ;24.636  x    ;103,85 ;595.282  x;4,25  
23.;06.06.;32 ;44 ;31 ;24 ;40 ;48 ;34 ;21.207.030,50 ;unbesetzt;;16  x  ;165.679,90 ;589  x     ;4.500,60 ;49.285  x    ;53,75 ;671.509  x;3,90  
24.;12.06.;10 ;24 ;34 ;27 ;15 ;31 ;32 ;20.506.194,50 ;1  x  ;500.000,00 ;14  x  ;152.123,50 ;526  x     ;4.746,80 ;32.880  x    ;77,95 ;664.830  x;3,85  
25.;19.06.;24 ;41 ;14 ;19 ;31 ;40 ;15 ;19.540.266,00 ;2  x  ;500.000,00 ;11  x  ;135.572,25 ;540  x     ;4.432,90 ;32.858  x    ;74,30 ;673.728  x;3,60  
26.;26.06.;8 ;39 ;27 ;10 ;49 ;13 ;35 ;20.450.324,50 ;2  x  ;500.000,00 ;9  x  ;176.680,40 ;671  x     ;3.759,25 ;40.106  x    ;63,70 ;721.282  x;3,50  
27.;03.07.;23 ;4 ;49 ;34 ;21 ;17 ;10 ;21.327.930,00 ;4  x  ;500.000,00 ;17  x  ;42.925,55 ;694  x     ;3.749,60 ;39.811  x    ;66,95 ;745.348  x;3,55  
28.;10.07.;16 ;43 ;23 ;35 ;21 ;15 ;10 ;21.198.435,00 ;4  x  ;500.000,00 ;15  x  ;47.335,10 ;645  x     ;4.014,85 ;37.773  x    ;70,15 ;684.708  x;3,85  
29.;17.07.;22 ;29 ;30 ;49 ;12 ;20 ;21 ;21.027.054,00 ;1  x  ;500.000,00 ;9  x  ;242.700,50 ;414  x     ;6.213,65 ;29.057  x    ;90,45 ;608.049  x;4,30  
30.;24.07.;22 ;29 ;13 ;44 ;4 ;23 ;5 ;20.822.818,50 ;2  x  ;500.000,00 ;13  x  ;126.137,85 ;903  x     ;2.841,50 ;46.295  x    ;56,20 ;774.999  x;3,35  
31.;31.07.;32 ;18 ;38 ;5 ;25 ;33 ;15 ;21.023.984,50 ;8  x  ;328.499,75 ;entfällt;;1.658  x     ;1.585,00 ;68.044  x    ;38,60 ;1.002.102  x;2,60  
32.;07.08.;43 ;34 ;27 ;13 ;48 ;35 ;33 ;20.894.167,50 ;1  x  ;500.000,00 ;10  x  ;214.286,30 ;830  x     ;3.109,25 ;44.765  x    ;58,30 ;728.084  x;3,55  
33.;14.08.;14 ;4 ;38 ;25 ;30 ;7 ;17 ;21.009.467,00 ;1  x  ;500.000,00 ;23  x  ;95.705,05 ;782  x     ;3.262,30 ;43.847  x    ;59,85 ;789.080  x;3,30  
34.;21.08.;11 ;43 ;6 ;19 ;10 ;12 ;20 ;20.864.914,00 ;3  x  ;500.000,00 ;15  x  ;77.134,40 ;785  x     ;3.260,10 ;50.313  x    ;51,80 ;918.964  x;2,80  
35.;28.08.;31 ;39 ;37 ;28 ;12 ;24 ;4 ;20.464.012,00 ;1  x  ;500.000,00 ;30  x  ;71.356,50 ;898  x     ;2.756,45 ;44.949  x    ;56,90 ;788.902  x;3,20  
36.;04.09.;45 ;48 ;46 ;11 ;22 ;27 ;44 ;21.369.011,50 ;2  x  ;500.000,00 ;15  x  ;115.511,50 ;636  x     ;4.103,10 ;37.485  x    ;71,25 ;700.854  x;3,80  
37.;11.09.;46 ;41 ;23 ;25 ;32 ;42 ;24 ;21.038.150,00 ;unbesetzt;;5  x  ;500.000,00 ;448  x     ;6.159,65 ;31.254  x    ;84,10 ;669.984  x;3,90  
38.;18.09.;19 ;22 ;3 ;29 ;25 ;45 ;6 ;21.218.442,50 ;3  x  ;500.000,00 ;26  x  ;48.049,80 ;685  x     ;3.730,35 ;44.489  x    ;59,60 ;845.797  x;3,10  
39.;25.09.;17 ;48 ;33 ;18 ;7 ;8 ;12 ;21.117.813,00 ;7  x  ;377.103,80 ;entfällt;;1.144  x     ;2.307,45 ;55.219  x    ;47,80 ;951.446  x;2,75  
40.;02.10.;4 ;16 ;12 ;31 ;19 ;3 ;39 ;21.444.738,50 ;4  x  ;500.000,00 ;30  x  ;24.527,45 ;1.426  x     ;1.841,05 ;69.214  x    ;38,70 ;1.058.309  x;2,50  
41.;09.10.;38 ;24 ;20 ;12 ;30 ;45 ;17 ;21.357.549,00 ;1  x  ;500.000,00 ;11  x  ;201.176,65 ;668  x     ;3.931,80 ;37.519  x    ;71,15 ;701.166  x;3,80  
42.;16.10.;25 ;22 ;29 ;5 ;14 ;38 ;47 ;21.458.268,50 ;5  x  ;500.000,00 ;38  x  ;6.749,10 ;1.336  x     ;1.952,15 ;55.268  x    ;48,50 ;863.043  x;3,10  
43.;23.10.;5 ;48 ;29 ;31 ;6 ;18 ;42 ;21.449.700,50 ;7  x  ;383.030,35 ;entfällt;;896  x     ;2.992,40 ;43.579  x    ;61,50 ;769.659  x;3,45  
44.;30.10.;8 ;47 ;35 ;24 ;41 ;49 ;21 ;21.533.330,50 ;2  x  ;500.000,00 ;10  x  ;174.517,85 ;493  x     ;5.351,20 ;29.512  x    ;91,20 ;602.291  x;4,45  
45.;06.11.;19 ;9 ;10 ;3 ;18 ;24 ;25 ;21.731.727,00 ;7  x  ;388.066,55 ;entfällt;;1.944  x     ;1.397,35 ;88.480  x    ;30,70 ;1.306.245  x;2,05  
46.;13.11.;30 ;15 ;47 ;41 ;20 ;4 ;35 ;21.909.025,00 ;3  x  ;500.000,00 ;9  x  ;143.921,00 ;426  x     ;6.295,65 ;24.680  x    ;110,95 ;537.031  x;5,05  
47.;20.11.;36 ;13 ;33 ;19 ;14 ;42 ;11 ;22.094.215,50 ;3  x  ;500.000,00 ;16  x  ;82.756,30 ;693  x     ;3.895,30 ;47.712  x    ;57,85 ;941.746  x;2,90  
48.;27.11.;27 ;14 ;1 ;47 ;20 ;46 ;34 ;22.215.101,00 ;1  x  ;500.000,00 ;11  x  ;215.861,60 ;302  x     ;8.871,80 ;20.380  x    ;136,25 ;504.675  x;5,50  
49.;04.12.;22 ;18 ;5 ;13 ;4 ;3 ;17 ;23.037.463,00 ;4  x  ;500.000,00 ;30  x  ;31.964,65 ;1.060  x     ;2.641,90 ;59.105  x    ;48,70 ;1.087.420  x;2,60  
50.;11.12.;34 ;12 ;23 ;24 ;32 ;26 ;3 ;23.034.647,00 ;6  x  ;479.888,45 ;entfällt;;1.307  x     ;2.203,00 ;67.554  x    ;42,60 ;1.085.571  x;2,65  
51.;18.12.;46 ;5 ;47 ;45 ;1 ;8 ;26 ;22.962.392,50 ;1  x  ;500.000,00 ;13  x  ;187.766,85 ;515  x     ;5.436,15 ;25.632  x    ;111,95 ;551.437  x;5,20  
52.;26.12.;42 ;40 ;8 ;36 ;47 ;20 ;38 ;20.973.581,50 ;1  x  ;500.000,00 ;5  x  ;431.724,60 ;350  x     ;7.385,05 ;25.009  x    ;104,80 ;530.151  x;4,90  
* 5+ZZ ist Ersatz-Gewinnklasse, falls die Gewinnklasse I nicht getroffen wurde, oder die Grenze von 500.000 DM überschreitet.;;;;;;;;;;;;;;;;;;;
