"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1957
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
11.;17.03.;3 ;14 ;35 ;24 ;44 ;32 ;47 ;15.938.307,50 ;7  x  ;284.612,50 ;entfällt;;1.110  x     ;1.794,50 ;40.102  x    ;49,60 ;595.016  x;3,30  
12.;24.03.;18 ;48 ;22 ;45 ;31 ;14 ;20 ;15.551.719,00 ;1  x  ;500.000,00 ;1  x  ;500.000,00 ;272  x     ;10.617,00 ;18.060  x    ;107,50 ;416.048  x;4,60  
13.;31.03.;47 ;20 ;30 ;44 ;27 ;26 ;35 ;16.245.590,00 ;unbesetzt;;2  x  ;500.000,00 ;125  x     ;24.491,00 ;12.466  x    ;162,50 ;347.620  x;5,80  
14.;07.04.;2 ;40 ;31 ;14 ;48 ;18 ;36 ;15.946.804,50 ;8  x  ;249.168,50 ;entfällt;;789  x     ;2.526,00 ;47.363  x    ;42,00 ;514.094  x;3,80  
15.;14.04.;39 ;18 ;6 ;28 ;44 ;15 ;5 ;16.097.760,00 ;6  x  ;335.370,00 ;entfällt;;835  x     ;2.409,50 ;38.571  x    ;52,00 ;626.048  x;3,20  
16.;22.04.;35 ;44 ;11 ;39 ;27 ;45 ;13 ;14.905.046,00 ;unbesetzt;;5  x  ;372.626,00 ;214  x     ;8.706,00 ;18.503  x    ;100,50 ;401.921  x;4,60  
17.;28.04.;18 ;43 ;23 ;37 ;20 ;33 ;42 ;15.142.234,50 ;1  x  ;500.000,00 ;8  x  ;177.984,00 ;479  x     ;3.886,50 ;31.467  x    ;60,00 ;558.682  x;3,30  
18.;05.05.;31 ;41 ;4 ;2 ;27 ;22 ;38 ;15.459.423,50 ;2  x  ;500.000,00 ;entfällt;;313  x     ;9.152,50 ;21.624  x    ;89,00 ;473.691  x;4,00  
19.;12.05.;15 ;21 ;31 ;17 ;24 ;40 ;8 ;15.637.003,00 ;3  x  ;500.000,00 ;15  x  ;34.330,00 ;471  x     ;4.021,50 ;25.413  x    ;76,50 ;514.680  x;3,80  
20.;19.05.;28 ;16 ;44 ;30 ;20 ;29 ;4 ;15.536.266,00 ;unbesetzt;;4  x  ;485.508,00 ;220  x     ;8.827,00 ;19.012  x    ;102,00 ;430.237  x;4,50  
21.;26.05.;24 ;35 ;3 ;45 ;40 ;1 ;42 ;15.701.969,00 ;1  x  ;500.000,00 ;1  x  ;500.000,00 ;250  x     ;11.701,50 ;17.496  x    ;112,00 ;395.375  x;4,90  
22.;02.06.;4 ;32 ;37 ;14 ;3 ;29 ;5 ;15.254.433,50 ;unbesetzt;;5  x  ;381.360,50 ;314  x     ;6.072,50 ;26.306  x    ;72,00 ;511.295  x;3,70  
23.;10.06.;7 ;47 ;1 ;32 ;8 ;35 ;3 ;15.403.985,50 ;unbesetzt;;9  x  ;213.944,00 ;450  x     ;4.278,50 ;19.088  x    ;100,50 ;443.984  x;4,30  
24.;16.06.;21 ;38 ;14 ;44 ;34 ;30 ;25 ;14.723.132,50 ;unbesetzt;;5  x  ;368.078,00 ;346  x     ;5.319,00 ;19.855  x    ;92,50 ;400.348  x;4,50  
25.;23.06.;10 ;12 ;19 ;4 ;25 ;8 ;13 ;14.295.989,50 ;12  x  ;148.916,50 ;entfällt;;1.536  x     ;1.163,00 ;59.554  x    ;30,00 ;797.189  x;2,20  
26.;30.06.;23 ;31 ;15 ;36 ;37 ;46 ;24 ;15.434.401,00 ;1  x  ;500.000,00 ;9  x  ;164.323,00 ;341  x     ;5.512,00 ;23.347  x    ;82,50 ;480.103  x;4,00  
27.;07.07.;26 ;11 ;5 ;22 ;6 ;14 ;46 ;14.607.508,00 ;3  x  ;500.000,00 ;8  x  ;42.674,50 ;937  x     ;1.932,00 ;46.458  x    ;39,30 ;719.279  x;2,50  
28.;14.07.;41 ;44 ;40 ;34 ;28 ;30 ;26 ;15.380.838,00 ;unbesetzt;;5  x  ;384.520,50 ;236  x     ;8.146,50 ;15.304  x    ;125,50 ;345.164  x;5,50  
29.;21.07.;42 ;1 ;2 ;23 ;44 ;3 ;47 ;15.574.082,00 ;unbesetzt;;8  x  ;243.345,00 ;234  x     ;8.319,00 ;16.375  x    ;118,50 ;407.302  x;4,70  
30.;28.07.;9 ;25 ;34 ;20 ;1 ;27 ;48 ;15.613.635,00 ;unbesetzt;;9  x  ;216.856,00 ;299  x     ;6.527,00 ;23.667  x    ;82,00 ;521.852  x;3,70  
31.;04.08.;48 ;17 ;42 ;8 ;43 ;6 ;49 ;15.447.407,00 ;unbesetzt;;4  x  ;482.731,45 ;256  x     ;7.542,65 ;19.008  x    ;101,55 ;463.135  x;4,15  
32.;11.08.;13 ;39 ;29 ;33 ;36 ;26 ;22 ;14.674.347,50 ;6  x  ;305.715,55 ;entfällt;;747  x     ;2.455,50 ;37.314  x    ;49,15 ;581.195  x;3,15  
33.;18.08.;3 ;40 ;48 ;8 ;41 ;14 ;43 ;15.085.079,50 ;unbesetzt;;2  x  ;500.000,00 ;216  x     ;12.829,95 ;17.647  x    ;106,85 ;427.074  x;4,40  
34.;25.08.;36 ;31 ;24 ;30 ;42 ;38 ;10 ;15.088.673,50 ;1  x  ;500.000,00 ;1  x  ;500.000,00 ;270  x     ;10.267,25 ;21.262  x    ;88,70 ;439.365  x;4,25  
35.;01.09.;27 ;47 ;7 ;40 ;2 ;4 ;45 ;15.860.805,00 ;4  x  ;495.650,15 ;entfällt;;681  x     ;2.911,30 ;33.203  x    ;59,70 ;616.020  x;3,20  
36.;08.09.;27 ;38 ;21 ;12 ;20 ;40 ;4 ;15.996.413,00 ;1  x  ;500.000,00 ;17  x  ;93.627,75 ;352  x     ;5.418,80 ;22.939  x    ;87,15 ;471.472  x;4,20  
37.;15.09.;24 ;37 ;19 ;28 ;34 ;12 ;26 ;16.163.048,00 ;3  x  ;500.000,00 ;14  x  ;39.223,30 ;970  x     ;2.053,20 ;48.798  x    ;41,40 ;744.326  x;2,70  
38.;22.09.;25 ;10 ;33 ;9 ;35 ;7 ;18 ;15.972.781,00 ;5  x  ;399.319,50 ;entfällt;;750  x     ;2.662,10 ;41.194  x    ;48,45 ;747.428  x;2,65  
39.;29.09.;21 ;22 ;13 ;26 ;42 ;20 ;41 ;16.016.650,00 ;unbesetzt;;4  x  ;500.000,00 ;250  x     ;8.016,65 ;21.203  x    ;94,40 ;496.494  x;4,00  
40.;06.10.;9 ;26 ;25 ;31 ;11 ;6 ;7 ;16.222.800,00 ;8  x  ;253.481,25 ;entfällt;;1.185  x     ;1.711,25 ;54.847  x    ;36,95 ;835.017  x;2,40  
41.;13.10.;49 ;1 ;14 ;41 ;29 ;30 ;48 ;16.098.160,50 ;1  x  ;500.000,00 ;10  x  ;155.928,55 ;418  x     ;4.701,55 ;21.929  x    ;91,75 ;407.260  x;4,90  
42.;20.10.;35 ;36 ;24 ;2 ;27 ;42 ;41 ;16.072.327,00 ;1  x  ;500.000,00 ;5  x  ;306.637,60 ;411  x     ;4.829,40 ;28.957  x    ;69,35 ;576.081  x;3,45  
43.;27.10.;22 ;4 ;18 ;9 ;23 ;2 ;41 ;16.097.539,00 ;6  x  ;335.365,35 ;entfällt;;1.231  x     ;1.634,60 ;54.147  x    ;37,15 ;837.023  x;2,40  
44.;03.11.;49 ;26 ;46 ;45 ;3 ;11 ;41 ;16.313.924,50 ;2  x  ;500.000,00 ;5  x  ;215.601,85 ;258  x     ;7.753,75 ;20.631  x    ;98,80 ;439.907  x;4,60  
45.;10.11.;24 ;45 ;46 ;16 ;30 ;20 ;4 ;16.664.269,00 ;unbesetzt;;7  x  ;297.576,20 ;216  x     ;9.643,65 ;17.515  x    ;118,90 ;394.784  x;5,25  
46.;17.11.;20 ;24 ;49 ;34 ;8 ;22 ;16 ;16.725.970,00 ;2  x  ;500.000,00 ;3  x  ;369.172,30 ;371  x     ;5.590,20 ;22.491  x    ;92,95 ;477.191  x;4,35  
47.;24.11.;23 ;25 ;3 ;26 ;1 ;14 ;21 ;16.346.636,00 ;2  x  ;500.000,00 ;14  x  ;77.365,40 ;705  x     ;2.841,90 ;34.530  x    ;59,15 ;616.660  x;3,30  
48.;01.12.;46 ;36 ;9 ;27 ;26 ;11 ;43 ;17.194.500,50 ;1  x  ;500.000,00 ;3  x  ;500.000,00 ;695  x     ;3.307,35 ;36.966  x    ;58,10 ;697.110  x;3,05  
49.;08.12.;45 ;26 ;3 ;32 ;47 ;43 ;11 ;17.173.147,50 ;unbesetzt;;18  x  ;119.257,95 ;266  x     ;8.070,05 ;19.784  x    ;108,50 ;452.033  x;4,70  
50.;15.12.;27 ;11 ;22 ;7 ;39 ;18 ;46 ;17.355.453,50 ;2  x  ;500.000,00 ;23  x  ;52.478,45 ;1.305  x     ;1.633,60 ;60.787  x    ;35,65 ;883.202  x;2,45  
51.;22.12.;33 ;22 ;28 ;23 ;4 ;7 ;9 ;16.722.318,50 ;unbesetzt;;24  x  ;87.095,40 ;596  x     ;3.507,15 ;39.282  x    ;53,20 ;741.232  x;2,80  
52.;29.12.;46 ;14 ;34 ;45 ;47 ;36 ;2 ;14.670.500,00 ;2  x  ;500.000,00 ;entfällt;;237  x     ;11.255,80 ;16.273  x    ;112,65 ;346.353  x;5,25  
* 5+ZZ ist Ersatz-Gewinnklasse, falls die Gewinnklasse I nicht getroffen wurde, oder die Grenze von 500.000 DM überschreitet.;;;;;;;;;;;;;;;;;;;
