"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1961
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
36.;03.09.;20 ;32 ;15 ;35 ;10 ;2 ;19 ;22.089.270,00 ;2  x  ;500.000,00 ;18  x  ;102.506,25 ;574  x     ;4.664,10 ;36.180  x    ;76,30 ;660.568  x;4,15  
37.;10.09.;13 ;15 ;29 ;16 ;5 ;11 ;17 ;22.328.056,00 ;2  x  ;500.000,00 ;23  x  ;81.448,05 ;757  x     ;3.578,20 ;46.929  x    ;59,45 ;851.020  x;3,25  
38.;17.09.;20 ;1 ;10 ;49 ;27 ;37 ;35 ;22.509.342,50 ;3  x  ;500.000,00 ;16  x  ;86.577,45 ;613  x     ;4.473,20 ;34.689  x    ;81,10 ;626.069  x;4,45  
39.;24.09.;7 ;13 ;10 ;16 ;5 ;18 ;30 ;22.221.571,50 ;19  x  ;146.194,50 ;entfällt;;1.730  x     ;1.605,60 ;63.747  x    ;43,55 ;1.041.185  x;2,65  
40.;01.10.;33 ;4 ;29 ;14 ;23 ;36 ;26 ;22.995.240,00 ;2  x  ;500.000,00 ;23  x  ;83.685,05 ;1.290  x     ;2.189,15 ;57.637  x    ;49,85 ;929.683  x;3,05  
41.;08.10.;1 ;33 ;48 ;4 ;35 ;31 ;18 ;23.152.670,50 ;unbesetzt;;26  x  ;111.310,90 ;396  x     ;7.308,25 ;26.773  x    ;108,05 ;601.603  x;4,80  
42.;15.10.;44 ;17 ;7 ;14 ;19 ;12 ;35 ;23.112.252,50 ;4  x  ;500.000,00 ;6  x  ;150.697,30 ;1.138  x     ;2.525,35 ;58.706  x    ;49,20 ;1.050.586  x;2,70  
43.;22.10.;31 ;25 ;48 ;45 ;40 ;47 ;16 ;23.005.379,00 ;1  x  ;500.000,00 ;19  x  ;128.694,00 ;767  x     ;3.658,60 ;43.709  x    ;65,75 ;725.390  x;3,95  
44.;29.10.;22 ;35 ;4 ;40 ;16 ;33 ;20 ;23.223.852,50 ;5  x  ;500.000,00 ;14  x  ;33.574,75 ;592  x     ;4.790,35 ;36.292  x    ;79,95 ;725.884  x;3,95  
45.;05.11.;9 ;33 ;5 ;6 ;44 ;41 ;7 ;23.315.438,00 ;1  x  ;500.000,00 ;7  x  ;349.136,20 ;684  x     ;4.217,65 ;45.604  x    ;63,90 ;898.468  x;3,20  
46.;12.11.;33 ;11 ;18 ;49 ;12 ;27 ;2 ;23.498.774,50 ;6  x  ;489.557,80 ;entfällt;;899  x     ;3.267,30 ;54.812  x    ;53,55 ;1.024.676  x;2,85  
47.;19.11.;44 ;8 ;13 ;14 ;30 ;32 ;40 ;23.731.504,00 ;2  x  ;500.000,00 ;7  x  ;285.939,05 ;584  x     ;5.019,35 ;36.973  x    ;80,20 ;764.809  x;3,85  
48.;26.11.;40 ;20 ;39 ;2 ;37 ;1 ;32 ;23.401.010,00 ;1  x  ;500.000,00 ;5  x  ;490.727,25 ;508  x     ;5.702,00 ;28.694  x    ;101,90 ;579.941  x;5,00  
49.;03.12.;27 ;17 ;7 ;16 ;25 ;8 ;36 ;24.409.125,50 ;5  x  ;500.000,00 ;35  x  ;18.112,10 ;1.255  x     ;2.365,20 ;63.038  x    ;48,40 ;1.111.100  x;2,70  
50.;10.12.;23 ;5 ;29 ;10 ;47 ;39 ;19 ;24.314.237,50 ;5  x  ;500.000,00 ;50  x  ;13.618,10 ;1.023  x     ;2.832,50 ;49.731  x    ;61,10 ;856.355  x;3,50  
51.;17.12.;5 ;32 ;21 ;49 ;13 ;25 ;45 ;24.279.610,00 ;6  x  ;500.000,00 ;39  x  ;3.501,25 ;1.126  x     ;2.605,10 ;54.668  x    ;55,50 ;918.676  x;3,30  
52.;26.12.;36 ;4 ;31 ;22 ;42 ;32 ;49 ;23.833.004,50 ;4  x  ;500.000,00 ;10  x  ;103.048,95 ;570  x     ;5.136,40 ;43.882  x    ;67,85 ;806.891  x;3,65  
53.;31.12.;9 ;2 ;1 ;27 ;24 ;26 ;23 ;23.213.064,00 ;7  x  ;414.519,00 ;entfällt;;1.223  x     ;2.372,55 ;59.052  x    ;49,10 ;999.016  x;2,90  
* 5+ZZ ist Ersatz-Gewinnklasse, falls die Gewinnklasse I nicht getroffen wurde, oder die Grenze von 500.000 DM überschreitet.;;;;;;;;;;;;;;;;;;;
