"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 13. - 64. Veranstaltung 1956
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
42.;22.07.;38 ;48 ;5 ;10 ;18 ;8 ;14 ;4.970.417,50 ;1  x  ;621.302,00 ;entfällt;;618  x     ;1.005,00 ;17.138  x    ;36,20 ;189.163  x;3,20  
43.;29.07.;27 ;35 ;9 ;17 ;23 ;10 ;39 ;5.242.605,50 ;unbesetzt;;5  x  ;131.065,00 ;228  x     ;2.874,00 ;13.482  x    ;48,60 ;223.675  x;2,90  
44.;05.08.;40 ;9 ;23 ;25 ;31 ;46 ;49 ;5.496.264,50 ;1  x  ;687.033,00 ;entfällt;;239  x     ;2.874,50 ;9.681  x    ;70,50 ;166.091  x;4,10  
45.;12.08.;10 ;31 ;4 ;11 ;26 ;47 ;13 ;5.595.724,50 ;1  x  ;699.465,50 ;entfällt;;196  x     ;3.568,50 ;9.687  x    ;72,00 ;180.815  x;3,80  
46.;19.08.;5 ;34 ;33 ;14 ;6 ;40 ;21 ;6.480.104,50 ;1  x  ;810.013,00 ;entfällt;;101  x     ;8.019,50 ;8.149  x    ;99,00 ;197.244  x;4,10  
47.;26.08.;36 ;3 ;16 ;29 ;25 ;11 ;39 ;7.320.505,50 ;2  x  ;457.531,50 ;entfällt;;270  x     ;3.389,00 ;14.764  x    ;62,00 ;262.488  x;3,40  
48.;02.09.;49 ;48 ;40 ;31 ;26 ;14 ;10 ;8.346.919,00 ;1  x  ;1.043.364,50 ;entfällt;;101  x     ;10.330,00 ;7.729  x    ;135,00 ;175.689  x;5,90  
49.;09.09.;42 ;47 ;15 ;28 ;27 ;22 ;33 ;10.055.118,50 ;1  x  ;1.256.889,50 ;entfällt;;191  x     ;6.580,50 ;13.851  x    ;90,50 ;300.674  x;4,10  
50.;16.09.;42 ;23 ;17 ;8 ;4 ;18 ;41 ;12.195.144,00 ;3  x  ;508.131,00 ;entfällt;;446  x     ;3.417,50 ;29.447  x    ;51,50 ;535.251  x;2,80  
51.;23.09.;31 ;9 ;5 ;22 ;21 ;6 ;10 ;12.151.735,00 ;1  x  ;1.518.966,50 ;entfällt;;922  x     ;1.647,00 ;36.036  x    ;42,10 ;542.931  x;2,80  
52.;30.09.;9 ;10 ;39 ;36 ;27 ;24 ;19 ;13.137.987,00 ;4  x  ;410.562,00 ;entfällt;;711  x     ;2.309,50 ;35.229  x    ;46,50 ;599.574  x;2,70  
53.;07.10.;33 ;44 ;29 ;36 ;9 ;6 ;39 ;12.916.441,50 ;2  x  ;807.277,50 ;entfällt;;399  x     ;4.046,50 ;23.628  x    ;68,00 ;446.584  x;3,60  
54.;14.10.;32 ;10 ;11 ;25 ;12 ;42 ;27 ;12.830.637,50 ;unbesetzt;;11  x  ;145.802,50 ;541  x     ;2.964,50 ;32.001  x    ;50,00 ;580.308  x;2,70  
55.;21.10.;41 ;22 ;1 ;2 ;48 ;36 ;20 ;12.555.385,00 ;1  x  ;500.000,00 ;2  x  ;500.000,00 ;134  x     ;12.230,00 ;10.480  x    ;149,50 ;255.138  x;6,10  
56.;28.10.;17 ;5 ;49 ;39 ;29 ;47 ;31 ;12.605.154,50 ;unbesetzt;;15  x  ;105.042,50 ;544  x     ;2.896,00 ;25.981  x    ;60,50 ;422.091  x;3,70  
57.;04.11.;38 ;7 ;16 ;19 ;39 ;33 ;42 ;12.328.239,50 ;1  x  ;500.000,00 ;6  x  ;177.007,00 ;434  x     ;3.502,00 ;28.881  x    ;53,00 ;536.314  x;2,80  
58.;11.11.;29 ;36 ;7 ;34 ;49 ;14 ;15 ;12.214.001,50 ;3  x  ;500.000,00 ;7  x  ;7.405,00 ;419  x     ;3.583,50 ;21.912  x    ;69,50 ;391.911  x;3,90  
59.;18.11.;37 ;40 ;39 ;28 ;16 ;14 ;42 ;12.439.981,00 ;1  x  ;500.000,00 ;6  x  ;180.013,00 ;366  x     ;4.180,00 ;18.691  x    ;83,00 ;360.469  x;4,30  
60.;25.11.;16 ;36 ;44 ;25 ;6 ;9 ;34 ;11.952.043,50 ;4  x  ;373.501,00 ;entfällt;;832  x     ;1.795,50 ;38.239  x    ;39,00 ;488.028  x;3,00  
61.;02.12.;15 ;9 ;47 ;10 ;27 ;21 ;14 ;12.943.977,00 ;unbesetzt;;3  x  ;500.000,00 ;458  x     ;3.790,00 ;27.910  x    ;58,00 ;487.502  x;3,30  
62.;09.12.;32 ;11 ;13 ;7 ;43 ;6 ;33 ;13.051.678,50 ;unbesetzt;;11  x  ;148.314,50 ;541  x     ;3.015,50 ;35.649  x    ;45,70 ;619.815  x;2,60  
63.;16.12.;17 ;20 ;23 ;15 ;31 ;35 ;26 ;13.215.823,50 ;1  x  ;500.000,00 ;8  x  ;150.004,00 ;267  x     ;6.007,00 ;20.202  x    ;81,50 ;414.209  x;3,90  
64.;23.12.;49 ;45 ;13 ;47 ;1 ;5 ;29 ;12.555.522,50 ;1  x  ;500.000,00 ;9  x  ;124.749,00 ;256  x     ;5.922,00 ;14.829  x    ;105,50 ;330.619  x;4,70  
* 5+ZZ ist Ersatz-Gewinnklasse, falls die Gewinnklasse I nicht getroffen wurde, oder, ab 21.10.1956, die Grenze von 500.000 DM überschreitet.;;;;;;;;;;;;;;;;;;;
