Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1983
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
17.;30.04.;38 ;47 ;33 ;2 ;39 ;18 ;20 ;77.573.553,00 ;4  x  ;1.454.504,10 ;33  x  ;88.151,70 ;1.561  x     ;5.590,60 ;85.028  x    ;102,60 ;1.471.827  x;8,50  
18.;07.05.;6 ;9 ;21 ;49 ;44 ;38 ;40 ;76.645.593,00 ;4  x  ;1.437.104,80 ;33  x  ;87.097,20 ;1.501  x     ;5.744,50 ;78.566  x    ;109,70 ;1.400.069  x;8,80  
19.;14.05.;44 ;5 ;43 ;13 ;20 ;42 ;22 ;75.960.434,00 ;2  x  ;2.848.516,20 ;11  x  ;258.956,00 ;745  x     ;11.470,50 ;46.388  x    ;184,20 ;1.016.543  x;12,10  
20.;21.05.;32 ;1 ;35 ;2 ;23 ;20 ;21 ;75.846.959,00 ;3  x  ;1.896.173,90 ;17  x  ;167.309,40 ;1.298  x     ;6.573,70 ;58.817  x    ;145,00 ;1.198.816  x;10,20  
21.;28.05.;9 ;43 ;24 ;11 ;17 ;35 ;10 ;75.984.184,00 ;12  x  ;474.901,10 ;27  x  ;105.533,50 ;1.685  x     ;5.073,10 ;81.497  x    ;104,80 ;1.451.492  x;8,50  
22.;04.06.;9 ;44 ;1 ;35 ;15 ;38 ;18 ;73.857.078,00 ;4  x  ;1.384.820,20 ;24  x  ;115.401,60 ;869  x     ;9.561,40 ;49.032  x    ;169,40 ;1.019.978  x;11,70  
23.;11.06.;46 ;40 ;8 ;38 ;26 ;36 ;18 ;74.271.000,00 ;unbesetzt;;32  x  ;261.108,90 ;868  x     ;9.626,10 ;61.110  x    ;136,70 ;1.159.876  x;10,40  
24.;18.06.;48 ;2 ;27 ;16 ;37 ;21 ;36 ;71.521.273,00 ;12  x  ;447.007,90 ;15  x  ;178.803,10 ;1.784  x     ;4.510,10 ;80.600  x    ;99,80 ;1.385.069  x;8,30  
25.;25.06.;5 ;33 ;4 ;48 ;32 ;31 ;27 ;72.935.406,00 ;11  x  ;497.286,80 ;26  x  ;105.195,20 ;1.206  x     ;6.803,60 ;57.425  x    ;142,80 ;1.209.918  x;9,70  
26.;02.07.;24 ;34 ;8 ;27 ;2 ;14 ;17 ;74.744.576,00 ;7  x  ;800.834,70 ;45  x  ;62.287,10 ;1.390  x     ;6.049,40 ;77.660  x    ;108,20 ;1.324.878  x;9,10  
27.;09.07.;32 ;11 ;44 ;26 ;21 ;33 ;42 ;73.177.593,00 ;5  x  ;1.097.663,80 ;28  x  ;98.005,70 ;1.507  x     ;5.462,80 ;85.198  x    ;96,60 ;1.531.727  x;7,70  
28.;16.07.;37 ;39 ;46 ;8 ;48 ;41 ;10 ;72.724.769,00 ;4  x  ;1.363.589,40 ;13  x  ;209.782,90 ;1.337  x     ;6.119,30 ;48.472  x    ;168,70 ;981.734  x;12,00  
29.;23.07.;3 ;16 ;48 ;44 ;27 ;46 ;9 ;75.484.997,00 ;5  x  ;1.132.274,90 ;36  x  ;78.630,20 ;1.161  x     ;7.314,40 ;67.898  x    ;125,00 ;1.262.582  x;9,70  
30.;30.07.;49 ;38 ;25 ;41 ;42 ;8 ;12 ;75.672.228,00 ;1  x  ;3.000.000,00 ;24  x  ;229.713,50 ;850  x     ;10.015,40 ;61.890  x    ;137,50 ;1.260.876  x;9,70  
31.;06.08.;47 ;15 ;45 ;32 ;31 ;14 ;11 ;74.531.900,00 ;6  x  ;931.648,70 ;24  x  ;116.456,00 ;858  x     ;9.772,50 ;50.502  x    ;166,00 ;1.070.476  x;11,30  
32.;13.08.;41 ;47 ;18 ;49 ;3 ;9 ;44 ;74.133.501,00 ;3  x  ;1.853.337,50 ;30  x  ;92.666,80 ;1.321  x     ;6.313,40 ;72.271  x    ;115,30 ;1.384.815  x;8,60  
33.;20.08.;49 ;36 ;29 ;8 ;47 ;10 ;17 ;73.467.279,00 ;1  x  ;3.000.000,00 ;21  x  ;250.717,50 ;611  x     ;13.527,10 ;42.172  x    ;195,90 ;967.435  x;12,30  
34.;27.08.;18 ;3 ;41 ;47 ;27 ;19 ;29 ;73.826.025,00 ;2  x  ;2.768.475,90 ;31  x  ;89.305,60 ;1.625  x     ;5.111,00 ;99.336  x    ;83,60 ;1.519.327  x;7,80  
35.;03.09.;24 ;4 ;37 ;17 ;35 ;13 ;32 ;77.257.664,00 ;19  x  ;304.964,40 ;89  x  ;32.552,30 ;2.359  x     ;3.684,30 ;104.319  x    ;83,30 ;1.592.070  x;7,80  
36.;10.09.;31 ;41 ;46 ;27 ;45 ;6 ;10 ;74.946.820,00 ;2  x  ;2.810.505,70 ;124  x  ;22.665,30 ;1.230  x     ;6.854,80 ;65.802  x    ;128,10 ;1.212.158  x;10,00  
37.;17.09.;25 ;34 ;8 ;49 ;41 ;2 ;6 ;76.241.907,00 ;4  x  ;1.429.535,70 ;23  x  ;124.307,40 ;1.310  x     ;6.547,40 ;69.479  x    ;123,40 ;1.241.853  x;9,90  
38.;24.09.;23 ;30 ;13 ;7 ;11 ;19 ;35 ;75.367.914,00 ;17  x  ;332.505,50 ;65  x  ;43.481,40 ;3.195  x     ;2.653,70 ;132.986  x    ;63,70 ;2.002.631  x;6,10  
39.;01.10.;1 ;16 ;20 ;33 ;11 ;15 ;34 ;75.947.874,00 ;2  x  ;2.848.045,20 ;35  x  ;81.372,70 ;1.030  x     ;8.295,20 ;69.268  x    ;123,30 ;1.298.692  x;9,50  
40.;08.10.;27 ;33 ;20 ;47 ;3 ;19 ;22 ;76.762.612,00 ;10  x  ;575.719,50 ;19  x  ;151.505,10 ;1.932  x     ;4.469,80 ;102.578  x    ;84,10 ;1.582.695  x;7,80  
41.;15.10.;7 ;9 ;12 ;46 ;20 ;33 ;21 ;79.081.404,00 ;9  x  ;659.011,70 ;28  x  ;105.912,50 ;1.579  x     ;5.634,30 ;84.693  x    ;105,00 ;1.513.517  x;8,40  
42.;22.10.;30 ;21 ;13 ;6 ;1 ;37 ;5 ;76.759.451,00 ;5  x  ;1.151.391,70 ;22  x  ;130.839,90 ;1.087  x     ;7.944,20 ;63.817  x    ;135,30 ;1.242.079  x;10,00  
43.;29.10.;46 ;44 ;19 ;29 ;21 ;9 ;31 ;75.943.161,00 ;5  x  ;1.139.147,40 ;40  x  ;71.196,70 ;1.134  x     ;7.534,00 ;68.585  x    ;124,50 ;1.327.663  x;9,20  
44.;05.11.;47 ;24 ;30 ;13 ;15 ;43 ;7 ;75.206.246,00 ;5  x  ;1.128.093,60 ;33  x  ;85.461,60 ;784  x     ;10.791,70 ;51.129  x    ;165,40 ;1.042.087  x;11,70  
45.;12.11.;27 ;2 ;23 ;30 ;46 ;48 ;40 ;78.275.485,00 ;1  x  ;3.000.000,00 ;21  x  ;276.475,80 ;961  x     ;9.163,30 ;62.296  x    ;141,30 ;1.265.005  x;10,00  
46.;19.11.;16 ;2 ;3 ;40 ;11 ;38 ;4 ;75.831.998,00 ;7  x  ;812.485,60 ;14  x  ;203.121,40 ;1.303  x     ;6.547,20 ;77.300  x    ;110,30 ;1.431.834  x;8,60  
47.;26.11.;2 ;30 ;26 ;17 ;33 ;16 ;20 ;75.774.285,00 ;5  x  ;1.136.614,20 ;29  x  ;97.983,90 ;1.337  x     ;6.375,90 ;85.693  x    ;99,40 ;1.491.172  x;8,20  
48.;03.12.;49 ;33 ;9 ;42 ;37 ;15 ;30 ;84.241.711,00 ;5  x  ;1.263.625,60 ;27  x  ;117.002,30 ;1.359  x     ;6.973,60 ;71.207  x    ;133,00 ;1.350.283  x;10,10  
49.;10.12.;28 ;43 ;38 ;20 ;19 ;3 ;23 ;78.853.912,00 ;3  x  ;1.971.347,80 ;30  x  ;98.567,30 ;1.152  x     ;7.700,50 ;67.342  x    ;131,70 ;1.346.332  x;9,50  
50.;17.12.;7 ;36 ;11 ;8 ;15 ;1 ;25 ;79.867.403,00 ;1  x  ;3.000.000,00 ;30  x  ;199.502,70 ;1.235  x     ;7.275,30 ;87.488  x    ;102,70 ;1.442.555  x;8,90  
51.;24.12.;31 ;32 ;47 ;40 ;15 ;17 ;46 ;82.617.540,00 ;12  x  ;516.359,60 ;27  x  ;114.746,50 ;1.199  x     ;7.751,80 ;76.309  x    ;121,80 ;1.440.589  x;9,30  
52.;31.12.;45 ;17 ;27 ;21 ;9 ;2 ;44 ;80.613.873,00 ;8  x  ;755.755,00 ;27  x  ;111.963,70 ;1.947  x     ;4.657,90 ;104.732  x    ;86,50 ;1.768.034  x;7,40  
;;;;;;;;;;;;;;;;;;;
